trial_number,cv_score,cv_std,mean_best_iteration,median_best_iteration,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,params_cat_l2,params_cat_smooth,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_cat_threshold,params_max_cat_to_onehot,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_data_per_group,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
216,0.863754555303851,0.0304242101338407,199.8,176.0,0.8531468531468531,0.8811188811188811,0.8591549295774648,0.9084507042253521,0.8169014084507042,7.399983164441014,28.83549369109806,0.8869339873610533,0.11784745281602944,127,8,10,7,10,0.43511604559295053,60,0.08776787070217627,4,0.001,0.05,0.9696707640811784,1,COMPLETE
111,0.8623658032108736,0.02726940662029967,187.0,142.0,0.8531468531468531,0.8671328671328671,0.8591549295774648,0.9084507042253521,0.823943661971831,9.404203748603695,29.486134506510904,0.8824366205211784,0.06415589255560915,255,8,10,7,10,1.3284856101181381,50,0.05954220779641291,5,0.05,0.05,0.9262378051239301,1,COMPLETE
276,0.8623559539052497,0.024651889201927076,209.8,230.0,0.8601398601398601,0.8671328671328671,0.8591549295774648,0.9014084507042254,0.823943661971831,2.0933722840894085,29.491199663798312,0.7833722864679933,0.1071852498566946,63,32,10,7,10,1.3058999928868709,60,0.07827487888402482,4,0.001,0.01,0.980954521282409,1,COMPLETE
199,0.8623461045996258,0.02736750399284952,233.6,278.0,0.8601398601398601,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.8169014084507042,8.314239289721916,29.43395946229507,0.8896700245949554,0.12135397476496647,255,8,10,7,10,0.8913385471494968,60,0.09680211703988155,4,0.001,0.05,0.972499684920482,1,COMPLETE
269,0.8623362552940017,0.02881763761358518,109.8,123.0,0.8601398601398601,0.8811188811188811,0.8661971830985915,0.8943661971830986,0.8098591549295775,17.56617042350864,28.71996794107181,0.8786373093186646,0.11325255217407268,63,32,10,7,10,1.4096160913817761,60,0.08859300919461453,7,0.01,0.01,0.9608806022806734,1,COMPLETE
225,0.8609672018122723,0.022349708717244374,201.4,273.0,0.8461538461538461,0.8671328671328671,0.852112676056338,0.9014084507042254,0.8380281690140845,7.1157949573608965,28.01522501758909,0.889681792912353,0.10638502275192067,127,8,10,7,10,0.535551250300806,60,0.09093086771668271,4,0.001,0.05,0.9674610542267802,1,COMPLETE
200,0.8609672018122723,0.02565556763442002,142.2,133.0,0.8461538461538461,0.8671328671328671,0.8661971830985915,0.9014084507042254,0.823943661971831,7.832831988214041,29.993348746003907,0.9003318145518321,0.104665467623694,255,8,10,7,10,0.6711428872889121,60,0.08543771928979958,4,0.001,0.05,0.979235378011197,1,COMPLETE
161,0.8609573525066484,0.026084888816272023,103.4,112.0,0.8461538461538461,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.823943661971831,7.998924470522543,28.448048203781475,0.7975063447689451,0.08278542459518808,255,8,10,7,10,1.0973006458447359,60,0.14188809469689861,8,0.05,0.05,0.9467572193367021,1,COMPLETE
207,0.8609573525066484,0.027216958896360048,169.8,188.0,0.8531468531468531,0.8671328671328671,0.8661971830985915,0.9014084507042254,0.8169014084507042,7.592286458674563,29.94878220590208,0.8923168039085578,0.10415236139424157,127,8,10,7,10,0.9505352282696382,60,0.09167701837804076,4,0.001,0.05,0.9752415926872833,1,COMPLETE
241,0.8609573525066482,0.027578980862759984,95.4,83.0,0.8531468531468531,0.8671328671328671,0.852112676056338,0.9084507042253521,0.823943661971831,8.937293356886187,28.42011290425229,0.8831999090244933,0.10460436236333938,127,8,10,7,10,0.8609641112383144,60,0.0836753110910818,5,0.001,0.05,0.9639841140573041,1,COMPLETE
191,0.8609475032010245,0.025764108021622618,110.4,119.0,0.8531468531468531,0.8741258741258742,0.852112676056338,0.9014084507042254,0.823943661971831,6.048002032241794,28.317843489439536,0.8691371939640584,0.08204103437697831,255,8,10,7,10,1.0438702247888676,60,0.13935305580103113,8,0.05,0.05,0.9484277630725941,1,COMPLETE
81,0.8609376538954002,0.02905898043265672,131.0,128.0,0.8531468531468531,0.8811188811188811,0.8661971830985915,0.8943661971830986,0.8098591549295775,10.834577649227581,17.348470847884172,0.864587970576739,0.09779605583799666,255,8,10,7,5,1.343011339760481,40,0.10338202993952948,8,0.05,0.01,0.9635757755858331,1,COMPLETE
283,0.859558751108047,0.025522749509753608,87.8,50.0,0.8461538461538461,0.8671328671328671,0.8591549295774648,0.9014084507042254,0.823943661971831,2.94969973298472,28.94334159443407,0.7657547749300938,0.11571299061142085,255,32,10,7,10,1.4929869953926738,60,0.06740544093780675,5,0.001,0.0,0.9536261287587088,1,COMPLETE
248,0.8595587511080469,0.027407122470820146,112.4,128.0,0.8531468531468531,0.8601398601398601,0.852112676056338,0.9084507042253521,0.823943661971831,9.849764196864585,27.963730011417372,0.9196922973095328,0.10503910920582077,255,32,10,7,10,1.037106447492355,60,0.10026776015148542,5,0.001,0.01,0.9641030821675789,1,COMPLETE
214,0.8595587511080469,0.0277567063195834,125.2,93.0,0.8461538461538461,0.8671328671328671,0.8661971830985915,0.9014084507042254,0.8169014084507042,8.661119549689598,28.92824346077451,0.8716812916515301,0.11962083299916465,127,8,10,7,10,0.44404593109901874,60,0.09379810499126369,4,0.001,0.05,0.9688567185322945,1,COMPLETE
141,0.8595587511080469,0.029823795011459802,157.0,175.0,0.8461538461538461,0.8671328671328671,0.8591549295774648,0.9084507042253521,0.8169014084507042,7.863040119423137,27.929810597483467,0.8715348878718341,0.07698153561451603,255,8,10,7,10,1.2469607699765473,60,0.13890794883296323,7,0.05,0.05,0.9309638952328819,1,COMPLETE
264,0.8595587511080469,0.031107911915979933,61.6,42.0,0.8391608391608392,0.8741258741258742,0.8591549295774648,0.9084507042253521,0.8169014084507042,20.32683105082766,28.681598252193687,0.8701146654157447,0.11439354593863076,63,32,10,7,10,1.2021368224250402,60,0.08898046294637776,6,0.001,0.01,0.9567848112773758,1,COMPLETE
61,0.8595489018024229,0.027091284556783127,133.4,132.0,0.8531468531468531,0.8671328671328671,0.8591549295774648,0.9014084507042254,0.8169014084507042,9.985711929956246,15.76831927521591,0.8764046881911555,0.07452498061566891,255,8,10,7,10,1.4125423550488667,40,0.07806382999682797,6,0.05,0.01,0.9436302150232152,1,COMPLETE
