trial_number,cv_score,seed_cv_std,cv_std,seed_0_fold_seed,seed_0_cv_mean,seed_0_cv_std,seed_1_fold_seed,seed_1_cv_mean,seed_1_cv_std,seed_2_fold_seed,seed_2_cv_mean,seed_2_cv_std,mean_best_iteration,median_best_iteration,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,fold_5_score,fold_6_score,fold_7_score,fold_8_score,fold_9_score,fold_10_score,fold_11_score,fold_12_score,fold_13_score,fold_14_score,params_cat_l2,params_cat_smooth,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_cat_threshold,params_max_cat_to_onehot,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_data_per_group,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
92,0.8530089628681178,0.0043259947297894195,0.024469953137580717,12648430,0.855294001772875,0.03185400962836156,42,0.8469516399093864,0.020226200792405058,2026,0.8567812469220921,0.017788085916175877,93.6,46.0,0.8671328671328671,0.8741258741258742,0.8380281690140845,0.8943661971830986,0.8028169014084507,0.8181818181818182,0.8461538461538461,0.8802816901408451,0.8380281690140845,0.852112676056338,0.8391608391608392,0.8461538461538461,0.8450704225352113,0.8873239436619719,0.8661971830985915,6.985602579442557,14.759011982530762,0.9406386213591118,0.14543029929604373,63,32,10,7,35,1.1441588080348284,30,0.07074078669716788,16,0.5,0.05,0.7290275330628179,1,COMPLETE
1,0.8520765619357168,0.009168761344225585,0.025982034302044727,12648430,0.863754555303851,0.0304242101338407,42,0.8413572343149808,0.024901327619135924,2026,0.8511178961883186,0.015076176113065035,107.53333333333333,66.0,0.8531468531468531,0.8811188811188811,0.8591549295774648,0.9084507042253521,0.8169014084507042,0.7972027972027972,0.8391608391608392,0.8732394366197183,0.8450704225352113,0.852112676056338,0.8601398601398601,0.8461538461538461,0.823943661971831,0.8591549295774648,0.8661971830985915,7.399983164441014,28.83549369109806,0.8869339873610533,0.11784745281602944,127,8,10,7,10,0.43511604559295053,60,0.08776787070217627,4,0.001,0.05,0.9696707640811784,1,COMPLETE
80,0.8516070783676417,0.0046278206212787875,0.020069664865233153,12648430,0.852506648281296,0.023684395680542727,42,0.845543189205161,0.016836626707099938,2026,0.8567713976164679,0.01731189113509496,99.33333333333333,51.0,0.8531468531468531,0.8671328671328671,0.852112676056338,0.8802816901408451,0.8098591549295775,0.8181818181818182,0.8461538461538461,0.8661971830985915,0.8380281690140845,0.8591549295774648,0.8391608391608392,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8732394366197183,12.11250205999298,10.965743414064107,0.9652522414310398,0.11199481625968079,63,32,10,7,30,0.913191748817828,20,0.10534237004555883,16,0.5,0.001,0.7110039414263114,1,COMPLETE
95,0.851134311697692,0.005255102735677472,0.023212920074114428,12648430,0.8496897468728456,0.02817019184398479,42,0.845543189205161,0.021027854616504825,2026,0.8581699990150694,0.0172609467444381,97.46666666666667,68.0,0.8601398601398601,0.8601398601398601,0.8380281690140845,0.8873239436619719,0.8028169014084507,0.8181818181818182,0.8461538461538461,0.8802816901408451,0.8309859154929577,0.852112676056338,0.8461538461538461,0.8531468531468531,0.8380281690140845,0.8873239436619719,0.8661971830985915,7.020430951582972,11.336185516778961,0.98299856536031,0.1372922808807335,63,8,10,7,35,0.022900088047995232,20,0.08398242081198684,16,0.5,0.05,0.7075942554038838,1,COMPLETE
79,0.8511310285958175,0.006041151892758549,0.021593453963455758,12648430,0.8539052496798977,0.02587957484955179,42,0.8427459864079584,0.020241303171206967,2026,0.8567418496995962,0.01448732084200667,90.86666666666666,60.0,0.8671328671328671,0.8601398601398601,0.8450704225352113,0.8873239436619719,0.8098591549295775,0.8111888111888111,0.8391608391608392,0.8732394366197183,0.8380281690140845,0.852112676056338,0.8601398601398601,0.8531468531468531,0.8309859154929577,0.8732394366197183,0.8661971830985915,12.039434769540495,11.59547286167269,0.9629849425163997,0.11380548260447693,63,32,10,7,35,0.4570545812295692,20,0.0926567141723506,16,0.5,0.001,0.7119679585479797,1,COMPLETE
81,0.8506713943333661,0.004627163762313513,0.02032240166486678,12648430,0.8496995961784695,0.021298312109612947,42,0.8455530385107849,0.02230243412264112,2026,0.8567615483108441,0.014958323045097888,109.4,98.0,0.8601398601398601,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8169014084507042,0.8111888111888111,0.8461538461538461,0.8802816901408451,0.8380281690140845,0.852112676056338,0.8461538461538461,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8661971830985915,11.06398076899375,11.508848371822076,0.9667832546946029,0.11152115249335355,63,32,10,7,35,0.5507073212477487,20,0.10308296167956578,16,0.5,0.001,0.7105534930212319,1,COMPLETE
96,0.850664828129617,0.006602400314284282,0.023668524226867785,12648430,0.855303851078499,0.03303765139664526,42,0.841327686398109,0.01403880236136285,2026,0.8553629469122427,0.016163157672795078,109.73333333333333,58.0,0.8601398601398601,0.8741258741258742,0.852112676056338,0.8943661971830986,0.795774647887324,0.8181818181818182,0.8391608391608392,0.8591549295774648,0.8380281690140845,0.852112676056338,0.8391608391608392,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8661971830985915,6.8215762937710664,11.684012047815514,0.983041390523373,0.13596193436956291,63,8,10,7,35,0.0027396001967290606,20,0.08443045578614478,14,0.05,0.05,0.7090223800611866,1,COMPLETE
30,0.8501854952559178,0.010268867758577872,0.02333117954339885,12648430,0.8581109031813258,0.030129916159564906,42,0.8356840342755836,0.012877702506444105,2026,0.8567615483108441,0.015589605893112635,43.266666666666666,28.0,0.8531468531468531,0.8881118881118881,0.8661971830985915,0.8802816901408451,0.8028169014084507,0.8181818181818182,0.8461538461538461,0.8380281690140845,0.823943661971831,0.852112676056338,0.8601398601398601,0.8391608391608392,0.8380281690140845,0.8732394366197183,0.8732394366197183,12.043651498303355,14.299277984604878,0.7470643000018611,0.1496181979726065,127,32,10,6,15,0.24660133347013,60,0.09351652833618485,19,0.01,0.5,0.7741298048132882,1,COMPLETE
98,0.8497291440953413,0.0030428244432738542,0.02399219418554347,12648430,0.8468728454643948,0.033005633027108065,42,0.8483699399192357,0.021608038715830186,2026,0.8539446469023935,0.011950759602124907,80.6,63.0,0.8601398601398601,0.8601398601398601,0.8380281690140845,0.8873239436619719,0.7887323943661971,0.8111888111888111,0.8461538461538461,0.8732394366197183,0.8450704225352113,0.8661971830985915,0.8531468531468531,0.8461538461538461,0.8380281690140845,0.8732394366197183,0.8591549295774648,7.310402237721099,11.231518679363615,0.9981126328647355,0.12194535096162701,63,8,10,6,35,0.0157628576637645,20,0.09726554979321006,14,0.05,0.05,0.7230703036122677,1,COMPLETE
71,0.8497258609934666,0.009370385717178143,0.0237340055522319,12648430,0.859529203191175,0.030619598247588718,42,0.8371023342854329,0.014732151360044927,2026,0.8525460455037919,0.016489408499246485,76.33333333333333,35.0,0.8601398601398601,0.8741258741258742,0.8661971830985915,0.8943661971830986,0.8028169014084507,0.8181818181818182,0.8391608391608392,0.8591549295774648,0.8450704225352113,0.823943661971831,0.8461538461538461,0.8461538461538461,0.8309859154929577,0.8802816901408451,0.8591549295774648,5.635418207997847,10.97200224129443,0.8091521025276336,0.14187023434324922,63,32,10,7,20,1.4927229326439904,20,0.09334664597038744,19,0.5,0.1,0.7261303914208744,1,COMPLETE
57,0.8497225778915921,0.007537991894735496,0.02095523866341001,12648430,0.8510981975770708,0.023874574618468442,42,0.8398798384713878,0.011335973149306594,2026,0.8581896976263174,0.021175516911081726,49.333333333333336,35.0,0.8531468531468531,0.8671328671328671,0.8450704225352113,0.8802816901408451,0.8098591549295775,0.8321678321678322,0.8531468531468531,0.8380281690140845,0.852112676056338,0.823943661971831,0.8601398601398601,0.8251748251748252,0.8450704225352113,0.8802816901408451,0.8802816901408451,22.037375480685384,26.255809712245025,0.9175390972826765,0.12020747078354467,127,16,10,7,15,0.7344303818602065,20,0.1460855777749954,22,0.0,0.1,0.7177839385889759,1,COMPLETE
11,0.8492629436291409,0.005651913037847697,0.022129257639298402,12648430,0.8539150989855215,0.027679398295579992,42,0.841307987786861,0.011169503416186258,2026,0.8525657441150398,0.02196298867339345,47.06666666666667,20.0,0.8531468531468531,0.8671328671328671,0.8450704225352113,0.8943661971830986,0.8098591549295775,0.8251748251748252,0.8461538461538461,0.8309859154929577,0.852112676056338,0.852112676056338,0.8531468531468531,0.8251748251748252,0.8309859154929577,0.8802816901408451,0.8732394366197183,29.648935333077524,29.217358921682397,0.7723382709594743,0.14765736734154225,63,16,10,7,5,1.8845988154291393,20,0.08959899058003491,29,0.5,0.1,0.7140407948602441,1,COMPLETE
66,0.8492629436291409,0.007460970184152855,0.023002222419811386,12648430,0.8496897468728456,0.027436820884346753,42,0.8399192356938837,0.017136704931284778,2026,0.8581798483206933,0.019335529068099398,122.93333333333334,82.0,0.8461538461538461,0.8741258741258742,0.8450704225352113,0.8802816901408451,0.8028169014084507,0.8181818181818182,0.8391608391608392,0.8591549295774648,0.8591549295774648,0.823943661971831,0.8531468531468531,0.8391608391608392,0.8380281690140845,0.8873239436619719,0.8732394366197183,13.751787470573033,17.499755610264973,0.9230959995323738,0.06249837608898326,63,32,10,7,20,0.09540873508956742,20,0.07175051635656504,19,0.5,0.001,0.7169260322177368,1,COMPLETE
69,0.8492530943235169,0.007622854941908732,0.020806017753992993,12648430,0.855303851078499,0.024807063451976,42,0.8385009356840343,0.013818249348410134,2026,0.8539544962080173,0.017832917870529985,57.93333333333333,45.0,0.8601398601398601,0.8741258741258742,0.852112676056338,0.8802816901408451,0.8098591549295775,0.8181818181818182,0.8461538461538461,0.8591549295774648,0.8380281690140845,0.8309859154929577,0.8531468531468531,0.8391608391608392,0.8309859154929577,0.8802816901408451,0.8661971830985915,5.36965459505408,12.843646674870556,0.7800322792745322,0.1324944073085581,63,32,10,7,20,1.0739732155188109,40,0.06821525401583017,21,0.5,0.1,0.754041991507255,1,COMPLETE
84,0.8492530943235167,0.005642969295342057,0.02262660458593282,12648430,0.8524869496700482,0.029389766856562242,42,0.8413178370924849,0.018907650207543272,2026,0.8539544962080173,0.014802120307782076,83.93333333333334,37.0,0.8671328671328671,0.8671328671328671,0.8380281690140845,0.8873239436619719,0.8028169014084507,0.8111888111888111,0.8531468531468531,0.8661971830985915,0.8309859154929577,0.8450704225352113,0.8461538461538461,0.8461538461538461,0.8380281690140845,0.8802816901408451,0.8591549295774648,15.750127439676524,7.83758163861488,0.9947899365517544,0.10919248080711091,63,32,10,7,30,0.8615377412296752,20,0.0966002171866291,13,0.5,0.001,0.7248599075297847,1,COMPLETE
